Date,AMZN,CAT,DE,EXC,GOOGL,JNJ,JPM,META,PFE,PG
2023-01-03,85.81999969482422,228.4510955810547,410.9951477050781,39.272560119628906,88.69595336914062,166.30368041992188,126.7098617553711,124.15486145019531,44.607906341552734,142.46470642089844
2023-01-04,85.13999938964844,230.8228302001953,410.21044921875,39.79121017456055,87.66089630126953,168.11428833007812,127.89143371582031,126.77252960205078,43.62454605102539,143.08505249023438
2023-01-05,83.12000274658203,229.78997802734375,401.73468017578125,38.92677307128906,85.78984832763672,166.8730010986328,127.86309051513672,126.34453582763672,43.215538024902344,141.30860900878906
2023-01-06,86.08000183105469,237.995361328125,413.1068115234375,39.736610412597656,86.9244155883789,168.2262725830078,130.30982971191406,129.41009521484375,44.31202697753906,144.6735382080078
2023-01-09,87.36000061035156,235.8531494140625,414.7826232910156,40.17338180541992,87.60118103027344,163.86776733398438,129.77134704589844,128.8626708984375,42.1103515625,142.90646362304688
2023-01-10,89.87000274658203,239.57333374023438,423.72332763671875,39.754817962646484,87.99927520751953,163.475830078125,130.9333038330078,132.36614990234375,41.44027328491211,142.76547241210938
2023-01-11,95.08999633789062,239.78372192382812,419.8971252441406,40.164283752441406,91.08452606201172,163.21450805664062,131.90635681152344,132.26661682128906,41.29233932495117,141.60935974121094
2023-01-12,95.2699966430664,243.93423461914062,422.42529296875,39.47273254394531,90.69638061523438,162.39317321777344,131.7740936279297,136.06871032714844,41.51860046386719,140.81040954589844
2023-01-13,98.12000274658203,247.17623901367188,425.85443115234375,39.47273254394531,91.68167877197266,161.8612060546875,135.099365234375,136.33743286132812,41.64042663574219,141.816162109375
2023-01-17,96.05000305175781,245.0723114013672,424.4692687988281,39.272560119628906,90.85562896728516,160.86257934570312,133.01161193847656,134.7250518798828,40.10013198852539,141.402587890625
2023-01-18,95.45999908447266,241.78248596191406,412.64178466796875,38.42631530761719,90.68643188476562,158.43600463867188,129.01560974121094,132.39601135253906,39.160274505615234,137.61471557617188
2023-01-19,93.68000030517578,236.14199829101562,395.7967529296875,38.25343322753906,92.60724639892578,158.22137451171875,127.2962646484375,135.51132202148438,39.12546920776367,134.7043914794922
2023-01-20,97.25,239.94717407226562,397.73406982421875,38.526405334472656,97.55359649658203,157.48403930664062,127.60801696777344,138.71621704101562,39.256004333496094,135.22459411621094
2023-01-23,97.5199966430664,242.8202667236328,396.5135192871094,38.053245544433594,99.315185546875,157.08274841308594,129.67689514160156,142.5979461669922,39.14287567138672,133.4086151123047
2023-01-24,96.31999969482422,247.53826904296875,403.6138916015625,37.77116394042969,97.23511505126953,157.08274841308594,130.79159545898438,142.46853637695312,38.90791320800781,134.1368865966797
2023-01-25,97.18000030517578,248.33584594726562,400.6788024902344,37.689273834228516,94.76692962646484,158.20269775390625,131.42454528808594,140.83624267578125,39.221195220947266,134.04229736328125
2023-01-26,99.22000122070312,251.87197875976562,408.0019226074219,37.853057861328125,97.05597686767578,157.62405395507812,132.23699951171875,146.60902404785156,38.86112594604492,133.50318908691406
2023-01-27,102.23999786376953,254.1973419189453,405.0765686035156,37.934959411621094,98.89718627929688,157.00808715820312,132.5581817626953,151.0281982421875,38.4571418762207,132.95460510253906
2023-01-30,100.55000305175781,251.27622985839844,407.42071533203125,37.98954772949219,96.4787368774414,151.19366455078125,131.4340057373047,146.37013244628906,38.246368408203125,133.37075805664062
2023-01-31,103.12999725341797,242.42626953125,409.5905456542969,38.38991928100586,98.36969757080078,152.51895141601562,132.2180633544922,148.27117919921875,38.782081604003906,134.66656494140625
2023-02-01,105.1500015258789,239.78379821777344,413.6105041503906,38.49000930786133,99.95214080810547,153.91888427734375,131.86854553222656,152.40171813964844,38.6152229309082,135.4326629638672
2023-02-02,112.91000366210938,235.3251953125,393.81097412109375,38.116939544677734,107.22734832763672,154.4975128173828,131.25453186035156,187.884521484375,38.94016647338867,134.4679412841797
2023-02-03,103.38999938964844,238.0734100341797,393.3363342285156,37.21611022949219,104.28143310546875,153.62954711914062,133.2855682373047,185.65501403808594,38.69425964355469,134.88406372070312
2023-02-06,102.18000030517578,241.59031677246094,397.3757019042969,37.27070617675781,102.41038513183594,152.4629364013672,134.06967163085938,185.18719482421875,38.4307975769043,133.73965454101562
2023-02-07,102.11000061035156,239.8991241455078,396.6878967285156,37.14331817626953,107.1278305053711,152.50027465820312,135.70394897460938,190.72113037109375,38.281494140625,132.4344024658203
2023-02-08,100.05000305175781,239.13998413085938,394.91522216796875,36.61555862426758,98.89718627929688,152.69625854492188,134.7498321533203,182.56954956054688,38.62400817871094,131.06295776367188
2023-02-09,98.23999786376953,236.6512451171875,395.2252197265625,36.38808059692383,94.55792236328125,150.63369750976562,132.65264892578125,177.0854034423828,38.061946868896484,129.6252899169922
2023-02-10,97.61000061035156,237.9868927001953,404.6987609863281,37.0432243347168,94.12001037597656,151.3336181640625,133.23834228515625,173.3330535888672,38.53617858886719,130.76974487304688
2023-02-13,99.54000091552734,238.44815063476562,402.31585693359375,37.47998809814453,94.15982055664062,151.8936309814453,134.6837158203125,178.58831787109375,38.632789611816406,132.481689453125
2023-02-14,99.69999694824219,234.80633544921875,396.4844970703125,38.24433517456055,94.22949981689453,151.23098754882812,135.2788543701172,178.63807678222656,38.39567565917969,131.7344970703125
2023-02-15,101.16000366210938,238.97666931152344,397.19158935546875,38.82668685913086,96.4787368774414,148.7390899658203,135.84567260742188,176.32896423339844,38.04438400268555,131.4318084716797
